Station,date,Flow_cfs_md
J01-10019-1 (J01P33),2021-11-13,0.014
J01-10019-1 (J01P33),2021-11-14,0.017
J01-10019-1 (J01P33),2021-11-15,0.021
J01-10019-1 (J01P33),2021-11-16,0.026
J01-10019-1 (J01P33),2021-11-17,0.021
J01-10019-1 (J01P33),2021-11-18,0.026
J01-10019-1 (J01P33),2021-11-19,0.025
J01-10019-1 (J01P33),2021-11-20,0.023
J01-10019-1 (J01P33),2021-11-21,0.019
J01-10019-1 (J01P33),2021-11-22,0.021
J01-10019-1 (J01P33),2021-11-23,0.019
J01-10019-1 (J01P33),2021-11-24,0.021
J01-10019-1 (J01P33),2021-11-25,0.02
J01-10019-1 (J01P33),2021-11-26,0.018
J01-10019-1 (J01P33),2021-11-27,0.017
J01-10019-1 (J01P33),2021-11-28,0.02
J01-10019-1 (J01P33),2021-11-29,0.025
J01-10019-1 (J01P33),2021-11-30,0.022
J01-10019-1 (J01P33),2021-12-01,0.028
J01-10019-1 (J01P33),2021-12-02,0.029
J01-10019-1 (J01P33),2021-12-03,0.026
J01-10019-1 (J01P33),2021-12-04,0.023
J01-10019-1 (J01P33),2021-12-05,0.022
J01-10019-1 (J01P33),2021-12-06,0.024
J01-10019-1 (J01P33),2021-12-07,0.018
J01-10019-1 (J01P33),2021-12-08,0.023
J01-10019-1 (J01P33),2021-12-09,0.05
J01-10019-1 (J01P33),2021-12-10,0.026
J01-10019-1 (J01P33),2021-12-11,0.023
J01-10019-1 (J01P33),2021-12-12,0.025
J01-10019-1 (J01P33),2021-12-13,0.033
J01-10019-1 (J01P33),2021-12-14,7.44
J01-10019-1 (J01P33),2021-12-16,0.073
J01-10019-1 (J01P33),2021-12-17,0.028
J01-10019-1 (J01P33),2021-12-18,0.022
J01-10019-1 (J01P33),2021-12-19,0.022
J01-10019-1 (J01P33),2021-12-20,0.029
J01-10019-1 (J01P33),2021-12-21,0.026
J01-10019-1 (J01P33),2021-12-22,0.026
J01-10019-1 (J01P33),2021-12-23,0.807
J01-10019-1 (J01P33),2021-12-25,0.151
J01-10019-1 (J01P33),2021-12-26,0.227
J01-10019-1 (J01P33),2021-12-28,0.039
J01-10019-1 (J01P33),2022-01-01,0.028
J01-10019-1 (J01P33),2022-01-02,0.024
J01-10019-1 (J01P33),2022-01-03,0.028
J01-10019-1 (J01P33),2022-01-04,0.028
J01-10019-1 (J01P33),2022-01-05,0.024
J01-10019-1 (J01P33),2022-01-06,0.026
J01-10019-1 (J01P33),2022-01-07,0.033
J01-10019-1 (J01P33),2022-01-08,0.022
J01-10019-1 (J01P33),2022-01-09,0.022
J01-10019-1 (J01P33),2022-01-10,0.026
J01-10019-1 (J01P33),2022-01-11,0.029
J01-10019-1 (J01P33),2022-01-12,0.027
J01-10019-1 (J01P33),2022-01-13,0.022
J01-10019-1 (J01P33),2022-01-14,0.018
J01-10019-1 (J01P33),2022-01-15,0.027
J01-10019-1 (J01P33),2022-01-16,0.02
J01-10019-1 (J01P33),2022-01-17,0.021
J01-10019-1 (J01P33),2022-01-18,0.026
J01-10019-1 (J01P33),2022-01-19,0.021
J01-10019-1 (J01P33),2022-01-20,0.015
J01-10019-1 (J01P33),2022-01-21,0.019
J01-10019-1 (J01P33),2022-01-22,0.018
J01-10019-1 (J01P33),2022-01-23,0.016
J01-10019-1 (J01P33),2022-01-24,0.015
J01-10019-1 (J01P33),2022-01-25,0.02
J01-10019-1 (J01P33),2022-01-26,0.018
J01-10019-1 (J01P33),2022-01-27,0.018
J01-10019-1 (J01P33),2022-01-28,0.021
J01-10019-1 (J01P33),2022-01-29,0.023
J01-10019-1 (J01P33),2022-01-30,0.017
J01-10019-1 (J01P33),2022-01-31,0.021
J01-10019-1 (J01P33),2022-02-01,0.025
J01-10019-1 (J01P33),2022-02-02,0.016
J01-10019-1 (J01P33),2022-02-03,0.022
J01-10019-1 (J01P33),2022-02-04,0.019
J01-10019-1 (J01P33),2022-02-05,0.019
J01-10019-1 (J01P33),2022-02-06,0.016
J01-10019-1 (J01P33),2022-02-07,0.021
J01-10019-1 (J01P33),2022-02-08,0.024
J01-10019-1 (J01P33),2022-02-09,0.025
J01-10019-1 (J01P33),2022-02-10,0.031
J01-10019-1 (J01P33),2022-02-11,0.022
J01-10019-1 (J01P33),2022-02-12,0.026
J01-10019-1 (J01P33),2022-02-13,0.016
J01-10019-1 (J01P33),2022-02-14,0.018
J01-10019-1 (J01P33),2022-02-15,0.037
J01-10019-1 (J01P33),2022-02-16,0.023
J01-10019-1 (J01P33),2022-02-17,0.023
J01-10019-1 (J01P33),2022-02-18,0.019
J01-10019-1 (J01P33),2022-02-19,0.017
J01-10019-1 (J01P33),2022-02-20,0.023
J01-10019-1 (J01P33),2022-02-21,0.028
J01-10019-1 (J01P33),2022-02-22,0.052
J01-10019-1 (J01P33),2022-02-23,0.183
J01-10019-1 (J01P33),2022-02-24,0.03
J01-10019-1 (J01P33),2022-02-25,0.027
J01-10019-1 (J01P33),2022-02-26,0.023
J01-10019-1 (J01P33),2022-02-27,0.014
J01-10019-1 (J01P33),2022-02-28,0.015
J01-10019-1 (J01P33),2022-03-01,0.02
J01-10019-1 (J01P33),2022-03-02,0.016
J01-10019-1 (J01P33),2022-03-03,0.021
J01-10019-1 (J01P33),2022-03-04,0.029
J01-10019-1 (J01P33),2022-03-05,0.025
J01-10019-1 (J01P33),2022-03-06,0.016
J01-10019-1 (J01P33),2022-03-07,0.016
J01-10019-1 (J01P33),2022-03-08,0.015
J01-10019-1 (J01P33),2022-03-09,0.014
J01-10019-1 (J01P33),2022-03-10,0.022
J01-10019-1 (J01P33),2022-03-11,0.012
J01-10019-1 (J01P33),2022-03-12,0.013
J01-10019-1 (J01P33),2022-03-13,0.015
J01-10019-1 (J01P33),2022-03-14,0.016
J01-10019-1 (J01P33),2022-03-15,0.017
J01-10019-1 (J01P33),2022-03-16,0.014
J01-10019-1 (J01P33),2022-03-17,0.014
J01-10019-1 (J01P33),2022-03-18,0.011
J01-10019-1 (J01P33),2022-03-19,0.05
J01-10019-1 (J01P33),2022-03-20,0.022
J01-10019-1 (J01P33),2022-03-21,0.014
J01-10019-1 (J01P33),2022-03-22,0.014
J01-10019-1 (J01P33),2022-03-23,0.009
J01-10019-1 (J01P33),2022-03-24,0.013
J01-10019-1 (J01P33),2022-03-25,0.013
J01-10019-1 (J01P33),2022-03-26,0.02
J01-10019-1 (J01P33),2022-03-27,0.013
J01-10019-1 (J01P33),2022-03-28,1.13
J01-10019-1 (J01P33),2022-03-29,0.034
J01-10019-1 (J01P33),2022-03-30,0.021
J01-10019-1 (J01P33),2022-03-31,0.016
J01-10019-1 (J01P33),2022-04-01,0.019
J01-10019-1 (J01P33),2022-04-02,0.021
J01-10019-1 (J01P33),2022-04-03,0.024
J01-10019-1 (J01P33),2022-04-04,0.019
J01-10019-1 (J01P33),2022-04-05,0.013
J01-10019-1 (J01P33),2022-04-06,0.011
J01-10019-1 (J01P33),2022-04-07,0.02
J01-10019-1 (J01P33),2022-04-08,0.017
J01-10019-1 (J01P33),2022-04-09,0.016
J01-10019-1 (J01P33),2022-04-10,0.016
J01-10019-1 (J01P33),2022-04-11,0.021
J01-10019-1 (J01P33),2022-04-12,0.02
J01-10019-1 (J01P33),2022-04-13,0.02
J01-10019-1 (J01P33),2022-04-14,0.027
J01-10019-1 (J01P33),2022-04-15,0.027
J01-10019-1 (J01P33),2022-04-16,0.033
J01-10019-1 (J01P33),2022-04-17,0.018
J01-10019-1 (J01P33),2022-04-18,0.019
J01-10019-1 (J01P33),2022-04-19,0.026
J01-10019-1 (J01P33),2022-04-20,0.019
J01-10019-1 (J01P33),2022-04-21,0.029
J01-10019-1 (J01P33),2022-04-22,0.098
J01-10019-1 (J01P33),2022-04-23,0.025
J01-10019-1 (J01P33),2022-04-24,0.013
J01-10019-1 (J01P33),2022-04-25,0.013
J01-10019-1 (J01P33),2022-04-26,0.018
J01-10019-1 (J01P33),2022-04-27,0.018
J01-10019-1 (J01P33),2022-04-28,0.023
J01-10019-1 (J01P33),2022-04-29,0.025
J01-10019-1 (J01P33),2022-04-30,0.015
J01-10019-1 (J01P33),2022-05-01,0.014
J01-10019-1 (J01P33),2022-05-02,0.021
J01-10019-1 (J01P33),2022-05-03,0.017
J01-10019-1 (J01P33),2022-05-04,0.019
J01-10019-1 (J01P33),2022-05-05,0.026
J01-10019-1 (J01P33),2022-05-06,0.017
J01-10019-1 (J01P33),2022-05-07,0.017
J01-10019-1 (J01P33),2022-05-08,0.013
J01-10019-1 (J01P33),2022-05-09,0.019
J01-10019-1 (J01P33),2022-05-10,0.018
J01-10019-1 (J01P33),2022-05-11,0.02
J01-10019-1 (J01P33),2022-05-12,0.014
J01-10019-1 (J01P33),2022-05-13,0.013
J01-10019-1 (J01P33),2022-05-14,0.01
J01-10019-1 (J01P33),2022-05-15,0.012
J01-10019-1 (J01P33),2022-05-16,0.02
J01-10019-1 (J01P33),2022-05-17,0.02
J01-10019-1 (J01P33),2022-05-18,0.085
J01-10019-1 (J01P33),2022-05-19,0.018
J01-10019-1 (J01P33),2022-05-20,0.024
J01-10019-1 (J01P33),2022-05-21,0.018
J01-10019-1 (J01P33),2022-05-22,0.016
J01-10019-1 (J01P33),2022-05-23,0.02
J01-10019-1 (J01P33),2022-05-24,0.02
J01-10019-1 (J01P33),2022-05-25,0.019
J01-10019-1 (J01P33),2022-05-26,0.017
J01-10019-1 (J01P33),2022-05-27,0.018
J01-10019-1 (J01P33),2022-05-28,0.02
J01-10019-1 (J01P33),2022-05-29,0.011
J01-10019-1 (J01P33),2022-05-30,0.019
J01-10019-1 (J01P33),2022-05-31,0.015
J01-10019-1 (J01P33),2022-06-01,0.021
J01-10019-1 (J01P33),2022-06-02,0.017
J01-10019-1 (J01P33),2022-06-03,0.019
J01-10019-1 (J01P33),2022-06-04,0.015
J01-10019-1 (J01P33),2022-06-05,0.012
J01-10019-1 (J01P33),2022-06-06,0.014
J01-10019-1 (J01P33),2022-06-07,0.015
J01-10019-1 (J01P33),2022-06-08,0.014
J01-10019-1 (J01P33),2022-06-09,0.012
J01-10019-1 (J01P33),2022-06-10,0.014
J01-10019-1 (J01P33),2022-06-11,0.012
J01-10019-1 (J01P33),2022-06-12,0.013
J01-10019-1 (J01P33),2022-06-13,0.015
J01-10019-1 (J01P33),2022-06-14,0.013
J01-10019-1 (J01P33),2022-06-15,0.015
J01-10019-1 (J01P33),2022-06-16,0.016
J01-10019-1 (J01P33),2022-06-17,0.014
J01-10019-1 (J01P33),2022-06-18,0.014
J01-10019-1 (J01P33),2022-06-19,0.015
J01-10019-1 (J01P33),2022-06-20,0.01
J01-10019-1 (J01P33),2022-06-21,0.012
J01-10019-1 (J01P33),2022-06-22,0.011
J01-10019-1 (J01P33),2022-06-23,0.008
J01-10019-1 (J01P33),2022-06-24,0.007
J01-10019-1 (J01P33),2022-06-25,0.01
J01-10019-1 (J01P33),2022-06-26,0.009
J01-10019-1 (J01P33),2022-06-27,0.01
J01-10019-1 (J01P33),2022-06-28,0.01
J01-10019-1 (J01P33),2022-06-29,0.009
J01-10019-1 (J01P33),2022-06-30,0.01
J01-10019-1 (J01P33),2022-07-01,0.012
J01-10019-1 (J01P33),2022-07-02,0.014
J01-10019-1 (J01P33),2022-07-03,0.012
J01-10019-1 (J01P33),2022-07-04,0.012
J01-10019-1 (J01P33),2022-07-05,0.013
J01-10019-1 (J01P33),2022-07-06,0.014
J01-10019-1 (J01P33),2022-07-07,0.015
J01-10019-1 (J01P33),2022-07-08,0.014
J01-10019-1 (J01P33),2022-07-09,0.011
J01-10019-1 (J01P33),2022-07-10,0.008
J01-10019-1 (J01P33),2022-07-11,0.012
J01-10019-1 (J01P33),2022-07-12,0.013
J01-10019-1 (J01P33),2022-07-13,0.012
J01-10019-1 (J01P33),2022-07-14,0.013
J01-10019-1 (J01P33),2022-07-15,0.014
J01-10019-1 (J01P33),2022-07-16,0.011
J01-10019-1 (J01P33),2022-07-17,0.009
J01-10019-1 (J01P33),2022-07-18,0.01
J01-10019-1 (J01P33),2022-07-19,0.008
J01-10019-1 (J01P33),2022-07-20,0.008
J01-10019-1 (J01P33),2022-07-21,0.008
J01-10019-1 (J01P33),2022-07-22,0.012
J01-10019-1 (J01P33),2022-07-23,0.013
J01-10019-1 (J01P33),2022-07-24,0.019
J01-10019-1 (J01P33),2022-07-25,0.014
J01-10019-1 (J01P33),2022-07-26,0.011
J01-10019-1 (J01P33),2022-07-27,0.012
J01-10019-1 (J01P33),2022-07-28,0.01
J01-10019-1 (J01P33),2022-07-29,0.01
J01-10019-1 (J01P33),2022-07-30,0.01
J01-10019-1 (J01P33),2022-07-31,0.032
J01-10019-1 (J01P33),2022-08-01,0.01
J01-10019-1 (J01P33),2022-08-02,0.01
J01-10019-1 (J01P33),2022-08-03,0.009
J01-10019-1 (J01P33),2022-08-04,0.011
J01-10019-1 (J01P33),2022-08-05,0.01
J01-10019-1 (J01P33),2022-08-06,0.007
J01-10019-1 (J01P33),2022-08-07,0.004
J01-10019-1 (J01P33),2022-08-08,0.009
J01-10019-1 (J01P33),2022-08-09,0.008
J01-10019-1 (J01P33),2022-08-10,0.006
J01-10019-1 (J01P33),2022-08-11,0.005
J01-10019-1 (J01P33),2022-08-12,0.006
J01-10019-1 (J01P33),2022-08-13,0.007
J01-10019-1 (J01P33),2022-08-14,0.014
J01-10019-1 (J01P33),2022-08-15,0.01
J01-10019-1 (J01P33),2022-08-16,0.011
J01-10019-1 (J01P33),2022-08-17,0.01
J01-10019-1 (J01P33),2022-08-18,0.01
J01-10019-1 (J01P33),2022-08-19,0.011
J01-10019-1 (J01P33),2022-08-20,0.009
J01-10019-1 (J01P33),2022-08-21,0.008
J01-10019-1 (J01P33),2022-08-22,0.013
J01-10019-1 (J01P33),2022-08-23,0.017
J01-10019-1 (J01P33),2022-08-24,0.022
J01-10019-1 (J01P33),2022-08-25,0.013
J01-10019-1 (J01P33),2022-08-26,0.01
J01-10019-1 (J01P33),2022-08-27,0.011
J01-10019-1 (J01P33),2022-08-28,0.009
J01-10019-1 (J01P33),2022-08-29,0.011
J01-10019-1 (J01P33),2022-08-30,0.007
J01-10019-1 (J01P33),2022-08-31,0.007
J01-10019-1 (J01P33),2022-09-01,0.004
J01-10019-1 (J01P33),2022-09-02,0.007
J01-10019-1 (J01P33),2022-09-03,0.016
J01-10019-1 (J01P33),2022-09-04,0.006
J01-10019-1 (J01P33),2022-09-05,0.013
J01-10019-1 (J01P33),2022-09-06,0.016
J01-10019-1 (J01P33),2022-09-07,0.021
J01-10019-1 (J01P33),2022-09-08,0.019
J01-10019-1 (J01P33),2022-09-09,0.068
J01-10019-1 (J01P33),2022-09-10,0.029
J01-9005-3,2021-10-01,0.019
J01-9005-3,2021-10-02,0.111
J01-9005-3,2021-10-03,0.054
J01-9005-3,2021-10-04,2.67
J01-9005-3,2021-10-05,3.69
J01-9005-3,2021-10-06,0.126
J01-9005-3,2021-10-07,0.449
J01-9005-3,2021-10-08,6.09
J01-9005-3,2021-10-09,0.363
J01-9005-3,2021-10-10,0.188
J01-9005-3,2021-10-11,0.226
J01-9005-3,2021-10-12,0.374
J01-9005-3,2021-10-13,0.404
J01-9005-3,2021-10-14,0.291
J01-9005-3,2021-10-15,0.798
J01-9005-3,2021-10-16,0.542
J01-9005-3,2021-10-17,0.667
J01-9005-3,2021-10-18,0.675
J01-9005-3,2021-10-19,0.634
J01-9005-3,2021-10-20,0.739
J01-9005-3,2021-10-21,0.616
J01-9005-3,2021-10-22,0.884
J01-9005-3,2021-10-23,1.05
J01-9005-3,2021-10-24,0.803
J01-9005-3,2021-10-25,8.07
J01-9005-3,2021-10-26,0.546
J01-9005-3,2021-10-27,0.104
J01-9005-3,2021-10-28,0.087
J01-9005-3,2021-10-29,0.227
J01-9005-3,2021-10-30,0.358
J01-9005-3,2021-10-31,0.341
J01-9005-3,2021-11-01,0.344
J01-9005-3,2021-11-02,0.946
J01-9005-3,2021-11-03,1.79
J01-9005-3,2021-11-04,2.4
J01-9005-3,2021-11-05,1.87
J01-9005-3,2021-11-07,0.922
J01-9005-3,2021-11-08,0.839
J01-9005-3,2021-11-09,0.748
J01-9005-3,2021-11-10,0.688
J01-9005-3,2021-11-11,0.708
J01-9005-3,2021-11-12,0.626
J01-9005-3,2021-11-13,0.549
J01-9005-3,2021-11-14,0.82
J01-9005-3,2021-11-15,0.984
J01-9005-3,2021-11-16,0.834
J01-9005-3,2021-11-17,0.958
J01-9005-3,2021-11-18,1.62
J01-9005-3,2021-11-19,1.02
J01-9005-3,2021-11-20,1.13
J01-9005-3,2021-11-21,0.941
J01-9005-3,2021-11-22,1.36
J01-9005-3,2021-11-23,1.31
J01-9005-3,2021-11-24,1.25
J01-9005-3,2021-11-25,1.31
J01-9005-3,2021-11-26,1.66
J01-9008-1 (J01P30),2021-11-10,0.078
J01-9008-1 (J01P30),2021-11-11,0.071
J01-9008-1 (J01P30),2021-11-12,0.061
J01-9008-1 (J01P30),2021-11-13,0.072
J01-9008-1 (J01P30),2021-11-14,0.069
J01-9008-1 (J01P30),2021-11-15,0.074
J01-9008-1 (J01P30),2021-11-16,0.088
J01-9008-1 (J01P30),2021-11-17,0.083
J01-9008-1 (J01P30),2021-11-18,0.101
J01-9008-1 (J01P30),2021-11-19,0.092
J01-9008-1 (J01P30),2021-11-20,0.079
J01-9008-1 (J01P30),2021-11-21,0.06
J01-9008-1 (J01P30),2021-11-22,0.183
J01-9008-1 (J01P30),2021-11-23,0.181
J01-9008-1 (J01P30),2021-11-24,0.232
J01-9008-1 (J01P30),2021-11-25,0.139
J01-9008-1 (J01P30),2021-11-26,0.362
J01-9008-1 (J01P30),2021-11-27,0.592
J01-9008-1 (J01P30),2021-11-28,0.714
J01-9008-1 (J01P30),2021-11-29,0.761
J01-9008-1 (J01P30),2021-11-30,0.795
J01-9008-1 (J01P30),2021-12-01,0.822
J01-9008-1 (J01P30),2021-12-02,0.858
J01-9008-1 (J01P30),2021-12-03,0.96
J01-9008-1 (J01P30),2021-12-04,1.1
J01-9008-1 (J01P30),2021-12-05,1.27
J01-9008-1 (J01P30),2021-12-06,1.33
J01-9008-1 (J01P30),2021-12-07,1.28
J01-9008-1 (J01P30),2021-12-08,1.24
J01-9008-1 (J01P30),2021-12-09,0.926
J01-9008-1 (J01P30),2021-12-10,0.051
J01-9008-1 (J01P30),2021-12-11,0.049
J01-9008-1 (J01P30),2021-12-12,0.056
J01-9008-1 (J01P30),2021-12-13,0.109
J01-9008-1 (J01P30),2021-12-14,90.1
J01-9008-1 (J01P30),2021-12-15,0.121
J01-9008-1 (J01P30),2021-12-16,0.274
J01-9008-1 (J01P30),2021-12-17,0.028
J01-9008-1 (J01P30),2021-12-18,0.263
J01-9008-1 (J01P30),2021-12-19,0.347
J01-9008-1 (J01P30),2021-12-20,0.03
J01-9008-1 (J01P30),2021-12-21,0.027
J01-9008-1 (J01P30),2021-12-22,0.042
J01-9008-1 (J01P30),2021-12-23,17.9
J01-9008-1 (J01P30),2021-12-24,8.36
J01-9008-1 (J01P30),2021-12-25,0.928
J01-9008-1 (J01P30),2021-12-26,6.59
J01-9008-1 (J01P30),2021-12-27,0.737
J01-9008-1 (J01P30),2021-12-28,0.109
J01-9008-1 (J01P30),2021-12-29,1.82
J01-9008-1 (J01P30),2021-12-30,2.13
J01-9008-1 (J01P30),2021-12-31,0.144
J01-9008-1 (J01P30),2022-01-01,0.076
J01-9008-1 (J01P30),2022-01-02,0.065
J01-9008-1 (J01P30),2022-01-03,0.068
J01-9008-1 (J01P30),2022-01-04,0.077
J01-9008-1 (J01P30),2022-01-05,0.071
J01-9008-1 (J01P30),2022-01-06,0.07
J01-9008-1 (J01P30),2022-01-07,0.045
J01-9008-1 (J01P30),2022-01-08,0.034
J01-9008-1 (J01P30),2022-01-09,0.03
J01-9008-1 (J01P30),2022-01-10,0.037
J01-9008-1 (J01P30),2022-01-11,0.035
J01-9008-1 (J01P30),2022-01-12,0.041
J01-9008-1 (J01P30),2022-01-13,0.049
J01-9008-1 (J01P30),2022-01-14,0.041
J01-9008-1 (J01P30),2022-01-15,0.091
J01-9008-1 (J01P30),2022-01-16,0.026
J01-9008-1 (J01P30),2022-01-17,0.049
J01-9008-1 (J01P30),2022-01-18,0.041
J01-9008-1 (J01P30),2022-01-19,0.041
J01-9008-1 (J01P30),2022-01-20,0.031
J01-9008-1 (J01P30),2022-01-21,0.045
J01-9008-1 (J01P30),2022-01-22,0.086
J01-9008-1 (J01P30),2022-01-23,0.081
J01-9008-1 (J01P30),2022-01-24,0.126
J01-9008-1 (J01P30),2022-01-25,0.097
J01-9008-1 (J01P30),2022-01-26,0.381
J01-9008-1 (J01P30),2022-01-27,0.4
J01-9008-1 (J01P30),2022-01-28,0.429
J01-9008-1 (J01P30),2022-01-29,0.499
J01-9008-1 (J01P30),2022-01-30,0.474
J01-9008-1 (J01P30),2022-01-31,0.341
J01-9008-1 (J01P30),2022-02-01,0.049
J01-9008-1 (J01P30),2022-02-02,0.058
J01-9008-1 (J01P30),2022-02-03,0.118
J01-9008-1 (J01P30),2022-02-04,0.19
J01-9008-1 (J01P30),2022-02-05,0.194
J01-9008-1 (J01P30),2022-02-06,0.146
J01-9008-1 (J01P30),2022-02-07,0.083
J01-9008-1 (J01P30),2022-02-08,0.12
J01-9008-1 (J01P30),2022-02-09,0.104
J01-9008-1 (J01P30),2022-02-10,0.141
J01-9008-1 (J01P30),2022-02-11,0.092
J01-9008-1 (J01P30),2022-02-12,0.112
J01-9008-1 (J01P30),2022-02-13,0.117
J01-9008-1 (J01P30),2022-02-14,0.086
J01-9008-1 (J01P30),2022-02-15,0.155
J01-9008-1 (J01P30),2022-02-16,0.03
J01-9008-1 (J01P30),2022-02-17,0.028
J01-9008-1 (J01P30),2022-02-18,0.026
J01-9008-1 (J01P30),2022-02-19,0.036
J01-9008-1 (J01P30),2022-02-20,0.058
J01-9008-1 (J01P30),2022-02-21,0.051
J01-9008-1 (J01P30),2022-02-22,0.176
J01-9008-1 (J01P30),2022-02-23,0.528
J01-9008-1 (J01P30),2022-02-24,0.028
J01-9008-1 (J01P30),2022-02-25,0.031
J01-9008-1 (J01P30),2022-02-26,0.04
J01-9008-1 (J01P30),2022-02-27,0.029
J01-9008-1 (J01P30),2022-02-28,0.029
J01-9008-1 (J01P30),2022-03-01,0.031
J01-9008-1 (J01P30),2022-03-02,0.04
J01-9008-1 (J01P30),2022-03-03,0.058
J01-9008-1 (J01P30),2022-03-04,0.084
J01-9008-1 (J01P30),2022-03-05,0.087
J01-9008-1 (J01P30),2022-03-06,0.077
J01-9008-1 (J01P30),2022-03-07,0.083
J01-9008-1 (J01P30),2022-03-08,0.078
J01-9008-1 (J01P30),2022-03-09,0.103
J01-9008-1 (J01P30),2022-03-10,0.128
J01-9008-1 (J01P30),2022-03-11,0.117
J01-9008-1 (J01P30),2022-03-12,0.057
J01-9008-1 (J01P30),2022-03-13,0.05
J01-9008-1 (J01P30),2022-03-14,0.11
J01-9008-1 (J01P30),2022-03-15,0.139
J01-9008-1 (J01P30),2022-03-16,0.125
J01-9008-1 (J01P30),2022-03-17,0.119
J01-9008-1 (J01P30),2022-03-18,0.121
J01-9008-1 (J01P30),2022-03-19,0.731
J01-9008-1 (J01P30),2022-03-20,0.074
J01-9008-1 (J01P30),2022-03-21,0.029
J01-9008-1 (J01P30),2022-03-22,0.029
J01-9008-1 (J01P30),2022-03-23,0.032
J01-9008-1 (J01P30),2022-03-24,0.035
J01-9008-1 (J01P30),2022-03-25,0.049
J01-9008-1 (J01P30),2022-03-26,0.045
J01-9008-1 (J01P30),2022-03-27,0.049
J01-9008-1 (J01P30),2022-03-28,31.1
J01-9008-1 (J01P30),2022-03-29,0.263
J01-9008-1 (J01P30),2022-03-30,0.06
J01-9008-1 (J01P30),2022-03-31,0.078
J01-9008-1 (J01P30),2022-04-01,0.044
J01-9008-1 (J01P30),2022-04-02,0.053
J01-9008-1 (J01P30),2022-04-03,0.053
J01-9008-1 (J01P30),2022-04-04,0.051
J01-9008-1 (J01P30),2022-04-05,0.042
J01-9008-1 (J01P30),2022-04-06,0.045
J01-9008-1 (J01P30),2022-04-07,0.05
J01-9008-1 (J01P30),2022-04-08,0.043
J01-9008-1 (J01P30),2022-04-09,0.048
J01-9008-1 (J01P30),2022-04-10,0.059
J01-9008-1 (J01P30),2022-04-11,0.078
J01-9008-1 (J01P30),2022-04-12,0.079
J01-9008-1 (J01P30),2022-04-13,0.094
J01-9008-1 (J01P30),2022-04-14,0.121
J01-9008-1 (J01P30),2022-04-15,0.082
J01-9008-1 (J01P30),2022-04-16,0.091
J01-9008-1 (J01P30),2022-04-17,0.106
J01-9008-1 (J01P30),2022-04-18,0.08
J01-9008-1 (J01P30),2022-04-19,0.056
J01-9008-1 (J01P30),2022-04-20,0.048
J01-9008-1 (J01P30),2022-04-21,0.078
J01-9008-1 (J01P30),2022-04-22,0.314
J01-9008-1 (J01P30),2022-04-23,0.008
J01-9008-1 (J01P30),2022-04-24,0.01
J01-9008-1 (J01P30),2022-04-25,0.012
J01-9008-1 (J01P30),2022-04-26,0.018
J01-9008-1 (J01P30),2022-04-27,0.015
J01-9008-1 (J01P30),2022-04-28,0.018
J01-9008-1 (J01P30),2022-04-29,0.019
J01-9008-1 (J01P30),2022-04-30,0.025
J01-9008-1 (J01P30),2022-05-01,0.027
J01-9008-1 (J01P30),2022-05-02,0.031
J01-9008-1 (J01P30),2022-05-03,0.03
J01-9008-1 (J01P30),2022-05-04,0.03
J01-9008-1 (J01P30),2022-05-05,0.037
J01-9008-1 (J01P30),2022-05-06,0.046
